scientificName,class,order,family,genus,specificEpithet,infraspecificEpithet,vernacularName,iucnGlobalStatus,iucnRegionalStatus,lastUpdate,,,,,,,,,,,,,,,
Campephilus leucopogon,Aves,Piciformes,Picidae,Campephilus,leucopogon,,carpintero negro,LC,,06/07/2019,,,,,,,,,,,,,,,
Camptostoma obsoletum,Aves,Passeriformes,Tyrannidae,Camptostoma,obsoletum,,piojito silbón,LC,,06/07/2019,,,,,,,,,,,,,,,
Caracara plancus,Aves,Falconiformes,Falconidae,Caracara,plancus,,carancho,LC,,06/07/2019,,,,,,,,,,,,,,,
Cariama cristata,Aves,Cariamiformes,Cariamidae,Cariama,cristata,,seriema,LC,,06/07/2019,,,,,,,,,,,,,,,
Casiornis rufus,Aves,Passeriformes,Tyrannidae,Casiornis,rufus,,burlisto castaño,LC,,06/07/2019,,,,,,,,,,,,,,,
Cathartes aura,Aves,Accipitriformes,Cathartidae,Cathartes,aura,,cuervo cabeza roja,LC,,06/07/2019,,,,,,,,,,,,,,,
Cathartes burrovianus,Aves,Accipitriformes,Cathartidae,Cathartes,burrovianus,,cuervo cabeza amarilla,LC,,06/07/2019,,,,,,,,,,,,,,,
Certhiaxis cinnamomeus,Aves,Passeriformes,Furnariidae,Certhiaxis,cinnamomeus,,curutié colorado,LC,,06/07/2019,,,,,,,,,,,,,,,
Chaetura meridionalis,Aves,Apodiformes,Apodidae,Chaetura,meridionalis,,vencejo de tormenta,LC,,06/07/2019,,,,,,,,,,,,,,,
Charadrius collaris,Aves,Charadriiformes,Charadriidae,Charadrius,collaris,,chorlito de collar,LC,,06/07/2019,,,,,,,,,,,,,,,
Charadrius falklandicus,Aves,Charadriiformes,Charadriidae,Charadrius,falklandicus,,chorlito doble collar,LC,,06/07/2019,,,,,,,,,,,,,,,
Charadrius modestus,Aves,Charadriiformes,Charadriidae,Charadrius,modestus,,chorlito pecho canela,LC,,06/07/2019,,,,,,,,,,,,,,,
Charadrius semipalmatus,Aves,Charadriiformes,Charadriidae,Charadrius,semipalmatus,,chorlito palmado,LC,,06/07/2019,,,,,,,,,,,,,,,
Chauna torquata,Aves,Anseriformes,Anhimidae,Chauna,torquata,,chajá,LC,,06/07/2019,,,,,,,,,,,,,,,
Chionis albus,Aves,Charadriiformes,Chionidae,Chionis,albus,,paloma antártica,LC,,06/07/2019,,,,,,,,,,,,,,,
Chlidonias niger,Aves,Charadriiformes,Laridae,Chlidonias,niger,,gaviotín negro,LC,,06/07/2019,,,,,,,,,,,,,,,
Chloris chloris,Aves,Passeriformes,Fringillidae,Chloris,chloris,,verderón,LC,,06/07/2019,,,,,,,,,,,,,,,
Chloroceryle amazona,Aves,Coraciiformes,Alcedinidae,Chloroceryle,amazona,,martín pescador mediano,LC,,06/07/2019,,,,,,,,,,,,,,,
