scientificName,class,order,family,genus,specificEpithet,infraspecificEpithet,vernacularName,iucnGlobalStatus,iucnRegionalStatus,lastUpdate,,,,,,,,,,,,,,,
Stephanophorus diadematus,Aves,Passeriformes,Thraupidae,Stephanophorus,diadematus,,cardenal azul,LC,,06/07/2019,,,,,,,,,,,,,,,
Stercorarius antarcticus,Aves,Charadriiformes,Stercorariidae,Stercorarius,antarcticus,,escúa antártica,NE,,06/07/2019,,,,,,,,,,,,,,,
Stercorarius chilensis,Aves,Charadriiformes,Stercorariidae,Stercorarius,chilensis,,escúa chilena,LC,,06/07/2019,,,,,,,,,,,,,,,
Stercorarius maccormicki,Aves,Charadriiformes,Stercorariidae,Stercorarius,maccormicki,,,LC,,06/07/2019,,,,,,,,,,,,,,,
Stercorarius parasiticus,Aves,Charadriiformes,Stercorariidae,Stercorarius,parasiticus,,salteador chico,LC,,06/07/2019,,,,,,,,,,,,,,,
Stercorarius pomarinus,Aves,Charadriiformes,Stercorariidae,Stercorarius,pomarinus,,salteador grande,LC,,06/07/2019,,,,,,,,,,,,,,,
Sterna hirundinacea,Aves,Charadriiformes,Laridae,Sterna,hirundinacea,,gaviotín cola larga,LC,,06/07/2019,,,,,,,,,,,,,,,
Sterna hirundo,Aves,Charadriiformes,Laridae,Sterna,hirundo,,gaviotín golondrina,LC,,06/07/2019,,,,,,,,,,,,,,,
Sterna trudeaui,Aves,Charadriiformes,Laridae,Sterna,trudeaui,,gaviotín de antifaz,LC,,06/07/2019,,,,,,,,,,,,,,,
Sterna vittata,Aves,Charadriiformes,Laridae,Sterna,vittata,,gaviotín antártico,LC,,06/07/2019,,,,,,,,,,,,,,,
Sternula antillarum,Aves,Charadriiformes,Laridae,Sternula,antillarum,,,LC,,06/07/2019,,,,,,,,,,,,,,,
Sternula superciliaris,Aves,Charadriiformes,Laridae,Sternula,superciliaris,,gaviotín chico,LC,,06/07/2019,,,,,,,,,,,,,,,
Streptoprocne zonaris,Aves,Apodiformes,Apodidae,Streptoprocne,zonaris,,vencejo de collar,LC,,06/07/2019,,,,,,,,,,,,,,,
Sturnella defilippii,Aves,Passeriformes,Icteridae,Sturnella,defilippii,,loica pampeana,VU,EN,06/07/2019,,,,,,,,,,,,,,,
Sturnella superciliaris,Aves,Passeriformes,Icteridae,Sturnella,superciliaris,,pecho colorado,LC,,06/07/2019,,,,,,,,,,,,,,,
Sublegatus modestus,Aves,Passeriformes,Tyrannidae,Sublegatus,modestus,,suirirí copetón,LC,,06/07/2019,,,,,,,,,,,,,,,
Suiriri suiriri,Aves,Passeriformes,Tyrannidae,Suiriri,suiriri,,suirirí común,LC,,06/07/2019,,,,,,,,,,,,,,,
Synallaxis albescens,Aves,Passeriformes,Furnariidae,Synallaxis,albescens,,pijuí blancuzco,LC,,06/07/2019,,,,,,,,,,,,,,,
Synallaxis cinerascens,Aves,Passeriformes,Furnariidae,Synallaxis,cinerascens,,pijuí oscuro,LC,,06/07/2019,,,,,,,,,,,,,,,
Synallaxis frontalis,Aves,Passeriformes,Furnariidae,Synallaxis,frontalis,,pijuí frente gris,LC,,06/07/2019,,,,,,,,,,,,,,,
Synallaxis ruficapilla,Aves,Passeriformes,Furnariidae,Synallaxis,ruficapilla,,,LC,,06/07/2019,,,,,,,,,,,,,,,
Synallaxis spixi,Aves,Passeriformes,Furnariidae,Synallaxis,spixi,,pijuí común,LC,,06/07/2019,,,,,,,,,,,,,,,
Syndactyla rufosuperciliata,Aves,Passeriformes,Furnariidae,Syndactyla,rufosuperciliata,,tirirí,LC,,06/07/2019,,,,,,,,,,,,,,,
Syrigma sibilatrix,Aves,Pelecaniformes,Ardeidae,Syrigma,sibilatrix,,garza amarilla,LC,,06/07/2019,,,,,,,,,,,,,,,
Systellura longirostris,Aves,Caprimulgiformes,Caprimulgidae,Systellura,longirostris,,dormilón patagónico,LC,,06/07/2019,,,,,,,,,,,,,,,
Tachuris rubrigastra,Aves,Passeriformes,Tyrannidae,Tachuris,rubrigastra,,sietecolores de laguna,LC,,06/07/2019,,,,,,,,,,,,,,,
Tachybaptus dominicus,Aves,Podicipediformes,Podicipedidae,Tachybaptus,dominicus,,macá gris,LC,,06/07/2019,,,,,,,,,,,,,,,
Tachycineta leucopyga,Aves,Passeriformes,Hirundinidae,Tachycineta,leucopyga,,,LC,,06/07/2019,,,,,,,,,,,,,,,
Tachycineta leucorrhoa,Aves,Passeriformes,Hirundinidae,Tachycineta,leucorrhoa,,golondrina ceja blanca,LC,,06/07/2019,,,,,,,,,,,,,,,
Tachyphonus coronatus,Aves,Passeriformes,Thraupidae,Tachyphonus,coronatus,,frutero coronado,LC,,06/07/2019,,,,,,,,,,,,,,,
Tangara preciosa,Aves,Passeriformes,Thraupidae,Tangara,preciosa,,achará,LC,,06/07/2019,,,,,,,,,,,,,,,
Tapera naevia,Aves,Cuculiformes,Cuculidae,Tapera,naevia,,crespín,LC,,06/07/2019,,,,,,,,,,,,,,,
Thalassarche chlororhynchos,Aves,Procellariiformes,Diomedeidae,Thalassarche,chlororhynchos,,albatros pico fino,EN,EN,06/07/2019,,,,,,,,,,,,,,,
Thalassarche melanophris,Aves,Procellariiformes,Diomedeidae,Thalassarche,melanophris,,albatros ceja negra,LC,,06/07/2019,,,,,,,,,,,,,,,
Thalasseus maximus,Aves,Charadriiformes,Laridae,Thalasseus,maximus,,gaviotín real,LC,CR,06/07/2019,,,,,,,,,,,,,,,
Thalasseus sandvicensis,Aves,Charadriiformes,Laridae,Thalasseus,sandvicensis,,gaviotín pico amarillo,LC,,06/07/2019,,,,,,,,,,,,,,,
Thamnophilus caerulescens,Aves,Passeriformes,Thamnophilidae,Thamnophilus,caerulescens,,batará plomizo,LC,,06/07/2019,,,,,,,,,,,,,,,
Thamnophilus ruficapillus,Aves,Passeriformes,Thamnophilidae,Thamnophilus,ruficapillus,,batará pardo,LC,,06/07/2019,,,,,,,,,,,,,,,
Theristicus caerulescens,Aves,Pelecaniformes,Threskiornithidae,Theristicus,caerulescens,,bandurria mora,LC,,06/07/2019,,,,,,,,,,,,,,,
Theristicus caudatus,Aves,Pelecaniformes,Threskiornithidae,Theristicus,caudatus,,bandurria amarilla,LC,,06/07/2019,,,,,,,,,,,,,,,
Thinocorus rumicivorus,Aves,Charadriiformes,Thinocoridae,Thinocorus,rumicivorus,,agachona,LC,,06/07/2019,,,,,,,,,,,,,,,
Thraupis bonariensis,Aves,Passeriformes,Thraupidae,Thraupis,bonariensis,,naranjero,NE,,06/07/2019,,,,,,,,,,,,,,,
Thraupis sayaca,Aves,Passeriformes,Thraupidae,Thraupis,sayaca,,celestón,LC,,06/07/2019,,,,,,,,,,,,,,,
Tigrisoma lineatum,Aves,Pelecaniformes,Ardeidae,Tigrisoma,lineatum,,garza colorada,LC,,06/07/2019,,,,,,,,,,,,,,,
Tolmomyias sulphurescens,Aves,Passeriformes,Tyrannidae,Tolmomyias,sulphurescens,,,LC,,06/07/2019,,,,,,,,,,,,,,,
Tringa flavipes,Aves,Charadriiformes,Scolopacidae,Tringa,flavipes,,playero patas amarillas chico,LC,,06/07/2019,,,,,,,,,,,,,,,
Tringa melanoleuca,Aves,Charadriiformes,Scolopacidae,Tringa,melanoleuca,,playero patas amarillas grande,LC,,06/07/2019,,,,,,,,,,,,,,,
Tringa semipalmata,Aves,Charadriiformes,Scolopacidae,Tringa,semipalmata,,playero ala blanca,LC,,06/07/2019,,,,,,,,,,,,,,,
Tringa solitaria,Aves,Charadriiformes,Scolopacidae,Tringa,solitaria,,playerito solitario,LC,,06/07/2019,,,,,,,,,,,,,,,
Troglodytes aedon,Aves,Passeriformes,Troglodytidae,Troglodytes,aedon,,ratonera,LC,,06/07/2019,,,,,,,,,,,,,,,
Trogon surrucura,Aves,Trogoniformes,Trogonidae,Trogon,surrucura,,trogon,LC,,06/07/2019,,,,,,,,,,,,,,,
Turdus albicollis,Aves,Passeriformes,Turdidae,Turdus,albicollis,,zorzal collar blanco,LC,,06/07/2019,,,,,,,,,,,,,,,
Turdus amaurochalinus,Aves,Passeriformes,Turdidae,Turdus,amaurochalinus,,sabiá,LC,,06/07/2019,,,,,,,,,,,,,,,
Turdus flavipes,Aves,Passeriformes,Turdidae,Turdus,flavipes,,zorzal azulado,LC,,06/07/2019,,,,,,,,,,,,,,,
Turdus leucomelas,Aves,Passeriformes,Turdidae,Turdus,leucomelas,,sabiá misionero,LC,,06/07/2019,,,,,,,,,,,,,,,
Turdus nigriceps,Aves,Passeriformes,Turdidae,Turdus,nigriceps,,zorzal cabeza negra,LC,,06/07/2019,,,,,,,,,,,,,,,
Turdus rufiventris,Aves,Passeriformes,Turdidae,Turdus,rufiventris,,zorzal común,LC,,06/07/2019,,,,,,,,,,,,,,,
Tyrannus melancholicus,Aves,Passeriformes,Tyrannidae,Tyrannus,melancholicus,,benteveo real,LC,,06/07/2019,,,,,,,,,,,,,,,
Tyrannus savana,Aves,Passeriformes,Tyrannidae,Tyrannus,savana,,tijereta,LC,,06/07/2019,,,,,,,,,,,,,,,
Tyrannus tyrannus,Aves,Passeriformes,Tyrannidae,Tyrannus,tyrannus,,,LC,,06/07/2019,,,,,,,,,,,,,,,
Tyto alba,Aves,Strigiformes,Tytonidae,Tyto,alba,,lechuza de campanario,LC,,06/07/2019,,,,,,,,,,,,,,,
Vanellus chilensis,Aves,Charadriiformes,Charadriidae,Vanellus,chilensis,,tero,LC,,06/07/2019,,,,,,,,,,,,,,,
Veniliornis mixtus,Aves,Piciformes,Picidae,Veniliornis,mixtus,,carpintero bataraz,LC,,06/07/2019,,,,,,,,,,,,,,,
Veniliornis spilogaster,Aves,Piciformes,Picidae,Veniliornis,spilogaster,,carpintero manchado,LC,,06/07/2019,,,,,,,,,,,,,,,
Vireo olivaceus,Aves,Passeriformes,Vireonidae,Vireo,olivaceus,,chiví,LC,,06/07/2019,,,,,,,,,,,,,,,
Volatinia jacarina,Aves,Passeriformes,Thraupidae,Volatinia,jacarina,,volatinero,LC,,06/07/2019,,,,,,,,,,,,,,,
Xanthopsar flavus,Aves,Passeriformes,Icteridae,Xanthopsar,flavus,,dragón,VU,,06/07/2019,,,,,,,,,,,,,,,
Xenopsaris albinucha,Aves,Passeriformes,Cotingidae,Xenopsaris,albinucha,,tijerilla,LC,,06/07/2019,,,,,,,,,,,,,,,
Xolmis cinereus,Aves,Passeriformes,Tyrannidae,Xolmis,cinereus,,escarchero,LC,,06/07/2019,,,,,,,,,,,,,,,
Xolmis coronatus,Aves,Passeriformes,Tyrannidae,Xolmis,coronatus,,viudita coronada,LC,,06/07/2019,,,,,,,,,,,,,,,
Xolmis irupero,Aves,Passeriformes,Tyrannidae,Xolmis,irupero,,viudita blanca común,LC,,06/07/2019,,,,,,,,,,,,,,,
Zenaida auriculata,Aves,Columbiformes,Columbidae,Zenaida,auriculata,,torcaza,LC,,06/07/2019,,,,,,,,,,,,,,,
Zonotrichia capensis,Aves,Passeriformes,Emberizidae,Zonotrichia,capensis,,chingolo,LC,,06/07/2019,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
