scientificName,class,order,family,genus,specificEpithet,infraspecificEpithet,vernacularName,iucnGlobalStatus,iucnRegionalStatus,lastUpdate
Mirounga leonina,Mammalia,Carnivora,Phocidae,Mirounga,leonina,,elefante marino del sur,LC,,06/07/2019
Molossops temminckii,Mammalia,Chiroptera,Molossidae,Molossops,temminckii,,moloso de temminck,LC,,06/07/2019
Molossus molossus,Mammalia,Chiroptera,Molossidae,Molossus,molossus,,molosso común,LC,,06/07/2019
Molossus rufus,Mammalia,Chiroptera,Molossidae,Molossus,rufus,,molosso grande,LC,,06/07/2019
Monodelphis dimidiata,Mammalia,Didelphimorphia,Didelphidae,Monodelphis,dimidiata,,comadreja colorada chica,LC,,06/07/2019
Myocastor coypus,Mammalia,Rodentia,Myocastoridae,Myocastor,coypus,,nutria,LC,,06/07/2019
Myotis albescens,Mammalia,Chiroptera,Vespertilionidae,Myotis,albescens,,murciélago de vientre blanco,LC,,06/07/2019
Myotis levis,Mammalia,Chiroptera,Vespertilionidae,Myotis,levis,,murciélago acanelado,LC,,06/07/2019
Myotis nigricans,Mammalia,Chiroptera,Vespertilionidae,Myotis,nigricans,,murciélago oscuro,LC,,06/07/2019
Myotis riparius,Mammalia,Chiroptera,Vespertilionidae,Myotis,riparius,,murciélago negruzco,LC,,06/07/2019
Myotis ruber,Mammalia,Chiroptera,Vespertilionidae,Myotis,ruber,,murciélago rojizo,NT,,06/07/2019
Nasua nasua,Mammalia,Carnivora,Procyonidae,Nasua,nasua,,coatí,LC,,06/07/2019
Necromys obscurus,Mammalia,Rodentia,Cricetidae,Necromys,obscurus,,ratón oscuro,NT,,06/07/2019
Nyctinomops laticaudatus,Mammalia,Chiroptera,Molossidae,Nyctinomops,laticaudatus,,moloso de cola larga,LC,,06/07/2019
Nyctinomops macrotis,Mammalia,Chiroptera,Molossidae,Nyctinomops,macrotis,,,LC,,06/07/2019
Oligoryzomys delticola,Mammalia,Rodentia,Cricetidae,Oligoryzomys,delticola,,,LC,,06/07/2019
Oligoryzomys flavescens,Mammalia,Rodentia,Cricetidae,Oligoryzomys,flavescens,,ratón colilargo chico,LC,,06/07/2019
Oligoryzomys nigripes,Mammalia,Rodentia,Cricetidae,Oligoryzomys,nigripes,,ratón colilargo grande,LC,,06/07/2019
Orcinus orca,Mammalia,Cetacea,Delphinidae,Orcinus,orca,,orca,DD,,06/07/2019
Otaria flavescens,Mammalia,Carnivora,Otariidae,Otaria,flavescens,,lobo marino de un pelo,LC,,06/07/2019
Oxymycterus josei,Mammalia,Rodentia,Cricetidae,Oxymycterus,josei,,ratón hocicudo de José,NT,,06/07/2019
Oxymycterus nasutus,Mammalia,Rodentia,Cricetidae,Oxymycterus,nasutus,,ratón hocicudo,LC,,06/07/2019
Oxymycterus rufus,Mammalia,Rodentia,Cricetidae,Oxymycterus,rufus,,,LC,,06/07/2019
Ozotoceros bezoarticus arerunguaensis,Mammalia,Artiodactyla,Cervidae,Ozotoceros,bezoarticus,arerunguaensis,venado de campo,NT,,06/07/2019
Ozotoceros bezoarticus uruguayensis,Mammalia,Artiodactyla,Cervidae,Ozotoceros,bezoarticus,uruguayensis,venado de campo,NT,,06/07/2019
Pecari tajacu,Mammalia,Artiodactyla,Tayassuidae,Pecari,tajacu,,pecarí de collar,LC,,06/07/2019
Phocoena spinipinnis,Mammalia,Cetacea,Phocoenidae,Phocoena,spinipinnis,,marsopa espinosa,NT,,06/07/2019
Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,macrocephalus,,cachalote,VU,,06/07/2019
