GridID,NR,SR,E,TP
251,16,13,0.37455,0.0769231
252,2,2,0.0334821,0
253,1,1,0.0555556,1
254,0,0,0,0
255,0,0,0,0
256,0,0,0,0
257,8,6,0.0806821,0
258,0,0,0,0
259,0,0,0,0
260,0,0,0,0
261,0,0,0,0
262,0,0,0,0
263,1,1,0.0106383,0
264,0,0,0,0
265,0,0,0,0
266,0,0,0,0
267,0,0,0,0
268,0,0,0,0
269,0,0,0,0
270,2,2,0.0298701,0
271,0,0,0,0
272,5,5,0.1409228,0
273,0,0,0,0
274,0,0,0,0
275,0,0,0,0
276,0,0,0,0
277,21,14,0.3570505,0
278,6,6,0.0659877,0
279,0,0,0,0
280,0,0,0,0
281,0,0,0,0
282,0,0,0,0
283,0,0,0,0
284,0,0,0,0
285,0,0,0,0
286,0,0,0,0
